Question,Answer
quel est le sujet du paragraphe,le sujet du paragraphe est ladmission à lecole centrale de lyon
comment sont appelés les étudiants admis à lecole centrale de lyon dans la formation ingénieur ,les étudiants admis à lecole centrale de lyon dans la formation ingénieur sont appelés élèves
quelles sont les deux voies dadmission en 1ère année de la formation ingénieur ,ladmission en 1ère année de la formation ingénieur seffectue par la voie du concours commun  centralesupélec  et par la voie de ladmission sur titre soit  casting  admission sur titres dingénieurs commun au groupe des ecoles centrales soit  enise 
quels sont les types dadmissions proposés dans le cadre des formations double diplômantes ,des admissions sur titres sont proposées en première année ou en seconde année par la commission des echanges universitaires concernant les étudiants inscrits dans des établissements partenaires étrangers
quels types détudiants peuvent être accueillis en 3e année à lecole centrale de lyon pour suivre une formation non conduisant au diplôme dingénieur,des étudiants en provenance duniversités étrangères ou dautres établissements français peuvent être accueillis en 3e année à lecole centrale de lyon pour suivre une formation non conduisant au diplôme dingénieur
quelles sont les conditions pour être officiellement inscrit à lecole centrale de lyon ,les élèves et les auditeurs doivent avoir acquitté les droits universitaires règlementaires sauf sils ont signé un contrat de professionnalisation
quelles sont les conditions dexonération des droits universitaires dans les universités en france ,les élèves bénéficiaires dune bourse accordée par letat les pupilles de la nation et les étudiants bénéficiant dune exonération en raison de leur situation personnelle tels que les réfugiés peuvent être exemptés de frais de scolarité universitaires en france en application du décret numéro 8413 du 5 janvier 1984
quelle assurance les élèves doiventils obligatoirement souscrire pendant toute leur scolarité à lecole centrale de lyon,les élèves doivent obligatoirement souscrire à une assurance responsabilité civile qui doit être valable pendant toute leur scolarité y compris la période des stages
comment se déroule la formation dingénieur à lecole centrale de lyon ,la formation dingénieur à lecole centrale de lyon se déroule en trois années divisées en six semestres dont les trois premiers s5 s6 s7 constituent le tronc commun les deux suivants s8 s9 forment le parcours electif et le dernier semestre s10 correspond à un stage appelé travail de fin detudes tfe
questce quune action de formation et quel est son rôle au sein des unités denseignement ,une action de formation est un ensemble dactivités planifiées regroupant des cours magistraux travaux dirigés travaux pratiques etc qui présentent les connaissances nécessaires pour le bon déroulement des autres activités
quelles sont les obligations concernant la participation et lassiduité des élèves dans le cursus de formation initiale,la participation à toutes les activités est obligatoire les absences doivent être justifiées et seules les absences pour force majeure sont autorisées
quel est lobjectif de lévaluation continue des élèves et des auditeurs,lobjectif est destimer leur niveau tout au long de lannée de les aider à progresser de les informer sur leur progression et de faciliter leurs choix et orientations
qui est responsable de lévaluation des élèves et des auditeurs à lécole,lévaluation des élèves et des auditeurs à lécole est du ressort exclusif des enseignants et des personnes ayant vocation à enseigner sous la supervision des conseils dunités denseignement et des responsables de parcours
quelles sont les conséquences des fraudes et des plagiats dans le contexte universitaire ,les sanctions prévues peuvent aller jusquà lexclusion définitive de tout établissement public denseignement supérieur
questce quune année de césure à lecole centrale de lyon,une année de césure à lecole centrale de lyon est la possibilité offerte aux élèves deffectuer une année supplémentaire pour réaliser un projet professionnel ou personnel
quel est lobjectif pédagogique de la mobilité à linternational pour les élèves de lecole centrale de lyon ,lobjectif pédagogique est de placer lélève en immersion dans un environnement socioculturel et socioprofessionnel différent à létranger afin de le former à évoluer dans un tel contexte lors de lexercice de son futur métier dingénieur
peuton personnaliser son cursus ingénieur à lecole centrale de lyon en effectuant une partie de la scolarité hors de lécole,oui le cursus ingénieur à lecole centrale de lyon peut être personnalisé en effectuant une partie de la scolarité hors de lécole selon deux modalités  en remplaçant des semestres complets par des études dans un autre établissement ou en remplaçant des actions de formation par des enseignements suivis dans une autre formation
quelles sont les différentes formes que peut prendre la validation dun ou plusieurs semestres complets dans le cursus ingénieur à lecole centrale de lyon ,la validation dun ou plusieurs semestres complets peut prendre plusieurs formes exclusives incluant lopportunité deffectuer des semestres dans des établissements étrangers ou partenaires de lecole centrale de lyon en remplacement de certains semestres du cursus initial
qui arrête la liste des élèves autorisés à effectuer des semestres à létranger et dans quels établissements,la liste des élèves autorisés à effectuer des semestres à létranger et dans dautres établissements est arrêtée par le directeur de lecole centrale de lyon sur proposition de la commission des echanges universitaires
que doit valider la commission daménagement du parcours electif ,le remplacement de la validation dune ou plusieurs actions de formation du parcours electif par la validation de cours suivis dans une autre formation
